state,week,mean,std,trump_mean,clinton_mean,mean_diff,candidate,right_1_total,right_1_ratio,left_1_total,left_1_ratio,right_2std_total,right_2std_ratio,left_2std_total,left_2std_ratio,right_5_total,right_5_ratio,left_5_total,left_5_ratio,right_10_total,right_10_ratio,left_10_total,left_10_ratio
Iowa,5.0,0.36769461051586944,0.578682077521017,0.6507244328209497,-0.42858396063808424,1.079308393459034,Trump,1496,0.10562733884064111,70,0.004942455694415025,1670,0.11791287156675846,29,0.0020475887876862248,2227,0.157240697592318,300,0.021181952976064393,4122,0.29104003389112476,501,0.03537386147002754
Iowa,6.0,0.3856339394956507,0.5837519945459951,0.6592726599928763,-0.4484725914571196,1.107745251449996,Trump,1481,0.109533318541528,95,0.0070261075364248205,1454,0.10753642482064936,23,0.0017010576140817986,2112,0.15620146438872864,298,0.022039789956364176,3837,0.28378078544486357,468,0.03461282449522964
Iowa,7.0,0.40038404615201617,0.5895038237907402,0.6846637184934113,-0.4407711846654325,1.125434903158844,Trump,1770,0.12169130285321417,120,0.008250257820556892,1604,0.1102784462014438,26,0.00178755586112066,2338,0.16074252320385013,317,0.021794431075971125,4265,0.29322791337229287,500,0.034376074252320386
Iowa,8.0,0.41397994908569585,0.5813342960166621,0.6716555531452704,-0.4577873097306106,1.129442862875881,Trump,1762,0.1176784879449676,127,0.008481934148133306,1459,0.09744206237894877,22,0.0014693114272356909,2343,0.1564816670006011,304,0.020303212449075,4188,0.2797034662392306,474,0.03165698256862352
Iowa,9.0,0.4362383698955035,0.5595928890640521,0.6559111900659923,-0.4461737058142482,1.1020848958802405,Trump,1754,0.11611280285979081,111,0.007348073613133854,1268,0.08394015622931286,31,0.0020521647027671123,2393,0.15841387528134515,247,0.016351118760757316,4233,0.2802197802197802,438,0.02899510128425791
Iowa,10.0,0.4308044573371841,0.5615998858426782,0.6635716045736765,-0.4279780191126655,1.091549623686342,Trump,1753,0.11773792732890052,106,0.007119349855598093,1422,0.09550674994962724,34,0.0022835650480220295,2427,0.16300624622204313,256,0.017193901538048225,4239,0.2847068305460407,430,0.028880381489690375
Iowa,11.0,0.4187308232498533,0.5623216112007992,0.6555539775657372,-0.4510573854942387,1.1066113630599759,Trump,1663,0.11167069567553049,100,0.006715014773032501,1367,0.09179425194735429,22,0.00147730325006715,2304,0.15471394037066882,280,0.018802041364491002,4146,0.2784045124899275,481,0.03229922105828633
Iowa,12.0,0.39811941081897334,0.553029156253895,0.6323806052439822,-0.4408913573908199,1.0732719626348022,Trump,1551,0.10533106960950764,80,0.005432937181663837,1436,0.09752122241086587,17,0.0011544991511035654,2198,0.1492699490662139,268,0.018200339558573853,4036,0.27409168081494056,467,0.03171477079796265
Iowa,13.0,0.37956054810855305,0.5754523454492928,0.6473674882896051,-0.45215965034585104,1.0995271386354561,Trump,1637,0.11029510847594663,103,0.006939765530251988,1463,0.09857162107532677,15,0.0010106454655706778,2142,0.1443201724834928,298,0.0200781565826708,4042,0.27233526478911196,500,0.03368818218568926
Iowa,14.0,0.387695571305442,0.5755416459995308,0.6504867327391347,-0.44966537262280415,1.1001521053619387,Trump,1716,0.11507510729613733,88,0.005901287553648069,1436,0.09629828326180258,16,0.001072961373390558,2063,0.13834495708154507,276,0.018508583690987124,3914,0.2624731759656652,465,0.03118293991416309
