"data_year","state_id","state_abbr","total_population","total_agencies","participation_agencies","covered_agencies","population_covered","nibrs_participating_agencies","nibrs_population"
1963,14,"GM",64600,3,1,0,0,0,0
1963,15,"HI",699619,18,12,0,0,0,0
1963,16,"IA",3015350,307,195,0,0,0,0
1963,17,"ID",861064,162,73,0,0,0,0
1963,18,"IL",11003888,1253,404,0,0,0,0
1963,19,"IN",4912614,423,220,0,0,0,0
1963,20,"KS",2317422,488,191,0,0,0,0
1963,21,"KY",3676361,715,171,0,0,0,0
1963,22,"LA",4147809,338,94,0,0,0,0
1963,23,"MA",5476527,539,228,0,0,0,0
1963,24,"MD",3568354,220,51,0,0,0,0
1963,25,"ME",1134988,282,81,0,0,0,0
1963,26,"MI",8418977,904,271,0,0,0,0
1963,27,"MN",3651218,496,213,0,0,0,0
1963,28,"MO",4708732,763,224,0,0,0,0
1963,29,"MS",3123021,313,92,0,0,0,0
1963,30,"MT",765243,160,86,0,0,0,0
1963,31,"NE",1619684,366,130,0,0,0,0
1963,32,"NC",5614419,876,172,0,0,0,0
1963,33,"ND",681839,152,65,0,0,0,0
1963,34,"NH",812975,273,45,0,0,0,0
1963,35,"NJ",6771297,691,327,0,0,0,0
1963,36,"NM",1319650,182,65,0,0,0,0
1963,37,"NV",396288,80,25,0,0,0,0
1963,38,"NY",18663260,1269,304,0,0,0,0
1963,39,"OH",10615572,970,363,0,0,0,0
1963,40,"OK",2984917,539,158,0,0,0,0
1963,41,"OR",1914449,319,93,0,0,0,0
1963,42,"PA",12124198,1985,535,0,0,0,0
1963,43,"PR",2529000,25,0,0,0,0,0
1963,44,"RI",921580,65,31,0,0,0,0
1963,45,"SC",2845455,593,82,0,0,0,0
1963,46,"SD",824531,209,89,0,0,0,0
1963,47,"TN",4679293,681,138,0,0,0,0
1963,48,"TX",12105325,1393,468,0,0,0,0
1963,49,"UT",1085829,206,57,0,0,0,0
1963,50,"VI",0,3,0,0,0,0,0
1963,51,"VA",4936079,523,142,0,0,0,0
1963,52,"VT",455543,113,27,0,0,0,0
1963,53,"WA",3119623,333,111,0,0,0,0
1963,54,"WI",4375413,508,192,0,0,0,0
1963,55,"WV",1923036,559,55,0,0,0,0
1963,56,"WY",393093,98,42,0,0,0,0
1963,57,"MP",0,1,0,0,0,0,0
1963,98,"FS",0,0,0,0,0,0,0
1963,99,"OT",0,0,0,0,0,0,0
1964,1,"AK",260673,56,6,0,0,0,0
1964,2,"AL",4293233,533,108,0,0,0,0
1964,3,"AR",2369054,376,80,0,0,0,0
1964,4,"AS",0,1,0,0,0,0,0
1964,5,"AZ",1639330,177,41,0,0,0,0
1964,6,"CA",18779661,950,391,0,0,0,0
1964,7,"CO",2214987,341,100,0,0,0,0
1964,8,"CT",2899008,132,76,0,0,0,0
1964,9,"CZ",42796,1,0,0,0,0,0
