"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2"
21,"Wyoming",0,2015,9,3,117,0.280134502323135,0.558374773194328,0.596993839821773,-0.37700764834076,0.974001488162533,"Trump",918,0.0931506849315069,34,0.00345002536783359,675,0.0684931506849315,7,0.000710299340436327,882,0.0894977168949772,98,0.00994419076610857,1762,0.178792491121258,195,0.0197869101978691,585668,0,0.0966007102993404,0.0692034500253678,0.0994419076610857,0.198579401319127,952,682,980,1957,0.935067268654105,0.938898194388727
22,"Wyoming",0,2015,9,3,117,0.279754672037694,0.545824276334842,0.585784972360983,-0.369738206239465,0.955523178600448,"Trump",852,0.0849282296650718,37,0.00368819776714514,614,0.0612041467304625,10,0.000996810207336523,829,0.0826355661881978,88,0.0087719298245614,1707,0.170155502392345,196,0.0195374800637959,585668,0,0.0886164274322169,0.062200956937799,0.0914074960127592,0.18969298245614,889,624,917,1903,0.974001488162533,0.935067268654105
24,"Wyoming",0,2015,10,4,118,0.288980025072555,0.544464963700882,0.597960711705836,-0.358430481846938,0.956391193552774,"Trump",888,0.0873585833743237,27,0.00265617314313822,627,0.0616822429906542,6,0.00059026069847516,855,0.0841121495327103,87,0.00855878012788982,1762,0.173339891785539,180,0.0177078209542548,585668,0,0.0900147565174619,0.0622725036891294,0.0926709296606001,0.191047712739793,915,633,942,1942,0.955523178600448,0.974001488162533
25,"Wyoming",0,2015,10,4,118,0.285398077686256,0.533952631895063,0.577201470196192,-0.358505939270058,0.93570740946625,"Trump",855,0.0804327375352775,36,0.00338664158043274,596,0.0560677328316087,9,0.000846660395108184,851,0.0800564440263405,99,0.00931326434619003,1795,0.168861712135466,183,0.0172154280338664,585668,0,0.0838193791157103,0.0569143932267168,0.0893697083725306,0.186077140169332,891,605,950,1978,0.956391193552774,0.955523178600448
26,"Wyoming",0,2015,10,4,118,0.268434540027634,0.519211708227069,0.508235265650641,-0.372245176409589,0.88048044206023,"Trump",909,0.078146492434663,45,0.00386863823933975,597,0.0513239339752407,8,0.000687757909215956,858,0.0737620357634113,108,0.00928473177441541,1835,0.15775447042641,213,0.0183115543328748,585668,0,0.0820151306740027,0.0520116918844567,0.0830467675378267,0.176066024759285,954,605,966,2048,0.93570740946625,0.956391193552774
27,"Wyoming",0,2015,11,4,119,0.263997729985989,0.500837352952108,0.480201731578385,-0.366132319816364,0.846334051394749,"Trump",853,0.0702925422332097,43,0.00354346930366708,581,0.0478780387309436,8,0.000659250103007829,816,0.0672435105067985,100,0.00824062628759786,1699,0.140008240626288,199,0.0163988463123197,585668,0,0.0738360115368768,0.0485372888339514,0.0754841367943964,0.156407086938607,896,589,916,1898,0.88048044206023,0.93570740946625
28,"Wyoming",0,2015,11,4,119,0.272822397826775,0.502683371782753,0.486589972619434,-0.369324145925384,0.855914118544818,"Trump",882,0.0724613867893526,49,0.00402563259940848,561,0.0460893854748603,10,0.000821557673348669,821,0.0674498849819257,98,0.00805126519881696,1720,0.141307919815971,189,0.0155274400262898,585668,0,0.0764870193887611,0.046910943148209,0.0755011501807427,0.156835359842261,931,571,919,1909,0.846334051394749,0.88048044206023
29,"Wyoming",0,2015,11,4,119,0.27713155197906,0.503552368456628,0.488786401550189,-0.373433055368056,0.862219456918245,"Trump",923,0.0752241238793806,42,0.00342298288508557,557,0.0453952730236349,10,0.000814995925020375,830,0.0676446617766911,90,0.00733496332518337,1675,0.136511817440913,164,0.0133659331703341,585668,0,0.0786471067644662,0.0462102689486553,0.0749796251018745,0.149877750611247,965,567,920,1839,0.855914118544818,0.846334051394749
30,"Wyoming",0,2015,11,4,119,0.297375851117732,0.522888861233504,0.543156215172641,-0.370505572944522,0.913661788117163,"Trump",958,0.0848839269891901,38,0.00336700336700337,601,0.0532518164097111,5,0.000443026758816233,878,0.0777954988481304,87,0.00770866560340245,1744,0.154527733475102,168,0.0148856990962254,585668,0,0.0882509303561935,0.0536948431685274,0.0855041644515329,0.169413432571327,996,606,965,1912,0.862219456918245,0.855914118544818
31,"Wyoming",0,2015,12,4,120,0.311787969509716,0.544266106144034,0.587031888321228,-0.369734717994021,0.956766606315249,"Trump",1027,0.0949080491636632,39,0.00360410313279734,658,0.06080768875335,3,0.000277238702522872,927,0.0856667590795675,92,0.00850198687736808,1882,0.173921079382682,184,0.0170039737547362,585668,0,0.0985121522964606,0.0610849274558728,0.0941687459569356,0.190925053137418,1066,661,1019,2066,0.913661788117163,0.862219456918245
32,"Wyoming",0,2015,12,4,120,0.296293592085612,0.550785848093996,0.588848734102849,-0.370419336907759,0.959268071010608,"Trump",954,0.0914932387072025,35,0.00335667018317829,650,0.0623381605447396,5,0.000479524311882612,869,0.083341325405198,93,0.00891915220101659,1869,0.179246187781721,192,0.0184137335762923,585668,0,0.0948499088903807,0.0628176848566222,0.0922604776062146,0.197659921358013,989,655,962,2061,0.956766606315249,0.913661788117163
33,"Wyoming",0,2015,12,4,120,0.294837654489544,0.563306614827945,0.603096955361289,-0.378268684501716,0.981365639863005,"Trump",974,0.0951915559030493,49,0.00478889757623143,660,0.0645035183737295,5,0.000488663017982799,898,0.0877638780297107,101,0.00987099296325254,1921,0.187744331508991,209,0.020426114151681,585668,0,0.0999804534792807,0.0649921813917123,0.0976348709929633,0.208170445660672,1023,665,999,2130,0.959268071010608,0.956766606315249
34,"Wyoming",0,2015,12,4,120,0.292902495514732,0.563620645954417,0.605925450280444,-0.382183676929987,0.988109127210431,"Trump",1009,0.0968609004511856,46,0.00441585869252184,638,0.0612460401267159,5,0.000479984640491504,874,0.0839013151579149,95,0.00911970816933858,1879,0.180378227896707,177,0.0169914562733992,585668,0,0.101276759143707,0.0617260247672074,0.0930210233272535,0.197369684170107,1055,643,969,2056,0.981365639863005,0.959268071010608
35,"Wyoming",0,2015,12,4,120,0.283564934735266,0.569374850073022,0.61595033294604,-0.374925461949119,0.990875794895159,"Trump",1026,0.0985306828003457,45,0.00432152117545376,664,0.0637664457889177,6,0.000576202823393835,892,0.0856621530778834,99,0.00950734658599827,1910,0.183424565447037,180,0.017286084701815,585668,0,0.102852203975799,0.0643426486123115,0.0951694996638817,0.200710650148852,1071,670,991,2090,0.988109127210431,0.981365639863005
