"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2","trump_num","clinton_num","total_num","trump_ratio"
73,"Missouri",3,2016,9,3,129,0.309921878035342,0.79514922780476,0.881935831978129,-0.61209685635074,1.49403268832887,"Trump",6656,0.227999862980852,993,0.0340150035967526,1802,0.0617271263659096,60,0.00205528722638989,3242,0.111054019799267,1685,0.0577193162744494,6447,0.220840612475593,2982,0.102147775151577,6087203,4.92837186471356e-07,0.262014866577604,0.0637824135922995,0.168773336073716,0.322988387627171,7649,1862,4927,9429,1.46312460932232,1.4691841675534,18016,11177,29193,0.61713424451067
75,"Missouri",1,2016,10,4,130,0.318469640420183,0.793216919177513,0.878492722751114,-0.609755581672238,1.48824830442335,"Trump",6933,0.238165578838887,1057,0.0363105462040536,1548,0.0531776021985572,73,0.00250772930264514,3275,0.112504294057025,1683,0.0578151837856407,6458,0.221848162143593,3015,0.103572655444864,6087203,1.64279062157119e-07,0.274476125042941,0.0556853315012023,0.170319477842666,0.325420817588458,7990,1621,4958,9473,1.49403268832887,1.46312460932232,18156,10954,29110,0.623703194778427
76,"Missouri",2,2016,10,4,130,0.323677099451535,0.800530838616684,0.886139271299809,-0.614048583191426,1.50018785449123,"Trump",7378,0.250585877797779,1143,0.0388207723397752,1601,0.05437625241993,53,0.0018000883062188,3440,0.116835920252692,1632,0.0554291342594165,6650,0.225860136535,2962,0.100601161566416,6087203,3.28558124314238e-07,0.289406650137554,0.0561763407261488,0.172265054512108,0.326461298101416,8521,1654,5072,9612,1.48824830442335,1.49403268832887,18404,11039,29443,0.6250721733519
77,"Missouri",1,2016,10,4,130,0.322499280691534,0.808074606221679,0.877871009721502,-0.659005491932553,1.53687650165405,"Trump",7906,0.253364953211127,1287,0.0412447122163825,1378,0.0441610049993591,48,0.00153826432508653,3686,0.11812588129727,1800,0.0576849121907448,7097,0.227438789898731,3241,0.10386488911678,6087203,1.64279062157119e-07,0.294609665427509,0.0456992693244456,0.175810793488014,0.331303679015511,9193,1426,5486,10338,1.50018785449123,1.48824830442335,19928,11276,31204,0.638636072298423
78,"Missouri",1,2016,10,4,130,0.287562979709679,0.816706062721547,0.879837630458174,-0.666121654488391,1.54595928494656,"Trump",8002,0.249524462876922,1171,0.0365150144999844,1284,0.0400386666250896,35,0.00109139667591755,3661,0.114160092300976,1672,0.05213757834669,7139,0.222613739125012,3169,0.0988181733137921,6087203,1.64279062157119e-07,0.286039477376906,0.0411300633010072,0.166297670647666,0.321431912438804,9173,1319,5333,10308,1.53687650165405,1.50018785449123,19783,12286,32069,0.61688858399077
1,"Missouri",0,2015,5,2,113,0.174287364788987,0.595785425519843,0.558346884602191,-0.492487230470711,1.0508341150729,"Trump",1143,0.0514146911969772,320,0.0143943142458729,1284,0.0577571859115649,90,0.00404840088165175,1816,0.0816877333453286,993,0.0446673563942243,4026,0.181098466105888,1867,0.0839818271782646,6071745,0,0.0658090054428501,0.0618055867932167,0.126355089739553,0.265080293284153,1463,1374,2809,5893,1.0508341150729,1.0508341150729,14106,8125,22231,0.634519364850884
4,"Missouri",0,2015,5,2,113,0.169462001145299,0.610731718367573,0.593407217376245,-0.499614639285436,1.09302185666168,"Trump",1238,0.0552308721838055,360,0.0160606736560339,1370,0.0611197858576846,121,0.00539817086772251,2038,0.0909212580861031,1095,0.0488512157037698,4433,0.197769350881106,2027,0.0904305152799465,6071745,0,0.0712915458398394,0.0665179567254071,0.139772473789873,0.288199866161053,1598,1491,3133,6460,1.0508341150729,1.54595928494656,13721,8694,22415,0.612134731206781
8,"Missouri",0,2015,6,2,114,0.181395223051819,0.653092547422396,0.639235095306239,-0.560244472899209,1.19947956820545,"Trump",1589,0.0640261100813925,509,0.0205093077604964,1261,0.0508098960431945,87,0.00350552018696108,2157,0.0869127246353453,1312,0.0528648561527923,4588,0.184865823192844,2270,0.0914658715448465,6071745,0,0.0845354178418889,0.0543154162301555,0.139777580788138,0.27633169473769,2098,1348,3469,6858,1.09302185666168,1.0508341150729,15345,9473,24818,0.618301232976066
9,"Missouri",0,2015,6,2,114,0.208746368381553,0.632736490662109,0.616112923778628,-0.553537531258798,1.16965045503743,"Trump",1425,0.0575153374233129,548,0.0221181788827898,1017,0.0410477881821117,105,0.00423797223119148,2180,0.0879883758475944,1256,0.0506942202131095,4544,0.183403293509848,2254,0.090975137229577,6071745,0,0.0796335163061027,0.0452857604133032,0.138682596060704,0.274378430739425,1973,1122,3436,6798,1.19947956820545,1.09302185666168,16147,8629,24776,0.651719405876655
10,"Missouri",0,2015,7,3,115,0.20175447601153,0.631481638355723,0.613086074183671,-0.550121642124363,1.16320771630803,"Trump",1373,0.0558516047675223,583,0.0237155758044177,1046,0.0425497294878575,160,0.00650856282797055,2058,0.0837163893747712,1304,0.05304478704796,4436,0.180449904405483,2273,0.0924622706748566,6071745,0,0.07956718057194,0.049058292315828,0.136761176422731,0.27291217508034,1956,1206,3362,6709,1.16965045503743,1.19947956820545,15890,8693,24583,0.646381645852825
