Week,immigration_reaction_amount,immigration_reaction_ratio,race_reaction_amount,race_reaction_ratio,immigration_user_amount,immigration_user_ratio,race_user_amount,race_user_ratio,immigration_post_amount,immigration_post_ratio,race_post_amount,race_post_ratio,related_reaction_amount,related_reaction_ratio,related_user_amount,related_user_ratio,related_post_amount,related_post_ratio,std_whole_x,std_whole_y,std_all,std_new,std_quit
2015-11-29,3954114.0,0.04002165925136837,1891194.0,0.01914176522129416,1542726.0,0.13597024375694955,946350.0,0.08340783793064302,4808,0.030861067428351364,3459,0.022202252960621328,5845308.0,0.05916342447266253,2489076.0,0.21937808168759257,8267,0.05306332038897269,1.0073643123686526,1.0073643123686526,1.00936104394449,1.0078634994674476,1.00819744912708
2015-08-16,3573392.0,0.03943027005293416,1818673.0,0.020067982333866512,1435095.0,0.1345706701494564,931933.0,0.0873885341001072,4277,0.02982462257243472,3780,0.026358913566472582,5392065.0,0.059498252386800676,2367028.0,0.2219592042495636,8057,0.0561835361389073,1.002392510442943,1.002392510442943,1.0035831705451195,1.0025824530875607,1.0031405935114972
2016-11-06,4181098.0,0.0238633251724881,2681125.0,0.015302333909199729,2696971.0,0.17211166306134484,1579969.0,0.10082833377717816,2819,0.015789886406918648,2964,0.01660206573611453,6862223.0,0.03916565908168783,4276940.0,0.272939996838523,5783,0.03239195214303318,1.0190055204194772,1.0190055204194772,1.0252788364314114,1.0205047349201108,1.0220819439922362
2016-03-13,1543590.0,0.017264635833053155,1197049.0,0.013388668661574931,932836.0,0.08177009290119577,757228.0,0.06637673064438622,2928,0.017419861497822518,2799,0.01665238809166845,2740639.0,0.030653304494628088,1690064.0,0.148146823545582,5727,0.03407224958949097,1.0113040930033264,1.0113040930033264,1.0168636988775717,1.0127765185000512,1.0138486506560718
2015-09-06,2442533.0,0.026188013501274445,1734921.0,0.018601236737290576,1105152.0,0.09975070267186804,902577.0,0.08146634125031366,4015,0.02779373792893387,4078,0.028229853866548527,4177454.0,0.04478925023856502,2007729.0,0.1812170439221817,8093,0.0560235917954824,1.0041092046505622,1.0041092046505622,1.0057877244644855,1.0041676228155263,1.005122429025511
2016-07-31,2586386.0,0.028760238314958494,1744125.0,0.019394417790336398,1403614.0,0.12599195458374646,1015312.0,0.09113698167183623,3617,0.02310768680363897,3391,0.021663855667995502,4330511.0,0.04815465610529489,2418926.0,0.2171289362555827,7008,0.04477154247163447,1.0154322734968377,1.0154322734968377,1.0233817371751792,1.0170513657992837,1.019281455091948
2016-02-14,1812841.0,0.01790399046211369,2337966.0,0.023090232935346282,955989.0,0.08141101214128073,1217105.0,0.10364737453277546,2759,0.016911440200068652,3689,0.02261192566076595,4150807.0,0.04099422339745997,2173094.0,0.1850583866740562,6448,0.0395233658608346,1.0094153926687595,1.0094153926687595,1.0143072716506634,1.0103291213252819,1.0121132846930125
2015-08-02,1731082.0,0.018550375772517967,1441877.0,0.015451238108738288,801105.0,0.07502411976213448,765288.0,0.07166982925399837,2821,0.02049489988666415,3058,0.022216733021417568,3172959.0,0.034001613881256255,1566393.0,0.14669394901613286,5879,0.04271163290808172,1.003262472000358,1.003262472000358,1.0037298883356502,1.0032337719191067,1.0037140251426493
2015-11-01,2294356.0,0.02437428132125204,1652490.0,0.017555364616718496,1020713.0,0.08908832479511998,919087.0,0.0802183583151899,4519,0.029593587510314205,3130,0.02049743945724352,3946846.0,0.041929645937970536,1939800.0,0.16930668311030989,7649,0.050091026967557725,1.0060462201495135,1.0060462201495135,1.0074900586077047,1.0064429637714956,1.0067292679249538
2016-09-25,1296630.0,0.01298624466414253,2251390.0,0.022548530709920217,807464.0,0.06673749283624758,1226463.0,0.10136806802089343,2403,0.014527098509808663,4676,0.028268294894658888,3548020.0,0.035534775374062744,2033927.0,0.168105560857141,7079,0.04279539340446755,1.0146997207717539,1.0146997207717539,1.022951184297792,1.0169991047586278,1.0187414435773248
2016-10-09,1589001.0,0.013792785395183756,1610831.0,0.013982273321986106,1072113.0,0.08723494296030032,1022365.0,0.08318708238740452,2317,0.013527873140428314,2855,0.016669002078516546,3199832.0,0.027775058717169863,2094478.0,0.17042202534770484,5172,0.03019687521894486,1.0170292400937544,1.0170292400937544,1.0247215293257683,1.0188873722145557,1.0207799088825233
