,Week,state,immigration_reaction_amount,immigration_reaction_ratio,race_reaction_amount,race_reaction_ratio,immigration_user_amount,immigration_user_ratio,race_user_amount,race_user_ratio,immigration_post_amount,immigration_post_ratio,race_post_amount,race_post_ratio,related_reaction_amount,related_reaction_ratio,related_user_amount,related_user_ratio,related_post_amount,related_post_ratio,hate_crime,racial_crime,racial_broad_crime,sexual_crime,population,hate_crime_rate,racial_crime_rate,racial_broad_crime_rate,sexual_crime_rate,ideology_mean,ideology_std,polarization_mean,polarization_median,total,trump_share,clinton_share,extreme_right_abs,extreme_left_abs,extreme_right_std,extreme_left_std,extreme_right_2std,extreme_left_2std
2356,2015-11-08,Georgia,40525,0.03760131013078112,13829,0.0128313021048383,14407,0.1799615269311482,7460,0.09318477066053762,4163,0.02658806698430136,3121,0.01993306679269866,54354,0.05043261223561942,21867,0.27314629759168585,7284,0.04652113377700001,1,1,1,0,10181111.0,9.822110769639975e-08,9.822110769639975e-08,9.822110769639975e-08,0.0,0.4776104633892809,0.5199067253271634,0.9965801532835056,0.9730854586095832,105471.0,0.8354239554000625,0.16457604459993747,0.149510291928587,0.0015833736287699937,0.5501607076826805,0.011718861108740793,0.11497947303050128,0.0003128822140683221
2357,2015-11-08,Minnesota,16816,0.016321111264245545,17848,0.017322739881318657,10361,0.07856682464454977,9730,0.07378199052132701,4163,0.02658806698430136,3121,0.01993306679269866,34664,0.0336438511455642,20091,0.15234881516587678,7284,0.04652113377700001,0,0,0,0,5482503.0,0.0,0.0,0.0,0.0,-0.4968992421309709,0.431968972925988,1.0312788052991415,0.9552790700360521,192960.0,0.1208903399668325,0.8791096600331675,0.008965588723051409,0.05486111111111111,0.04561048922056385,0.3556799336650083,0.00675787728026534,0.009146973466003315
2358,2015-11-08,New Mexico,4997,0.026236893367006724,2519,0.013226082527814676,2225,0.09521160511789124,1448,0.061962428858744485,4163,0.02658806698430136,3121,0.01993306679269866,7516,0.0394629758948214,3673,0.15717403397663576,7284,0.04652113377700001,0,0,0,0,2090211.0,0.0,0.0,0.0,0.0,0.04856692968717302,0.6259047202785549,1.0722504577626009,1.0337508886740314,34306.0,0.4945199090538098,0.5054800909461902,0.07027925144289629,0.01935521483122486,0.2925144289628636,0.10706581939019412,0.05334343846557454,0.003993470529936454
2359,2015-11-08,Michigan,16111,0.026985062827242667,10220,0.01711795308139905,7153,0.11084595000852304,5604,0.08684198292293628,4163,0.02658806698430136,3121,0.01993306679269866,26331,0.04410301590864171,12757,0.1976879329314593,7284,0.04652113377700001,4,3,3,1,9932573.0,4.027153890537729e-07,3.0203654179032967e-07,3.0203654179032967e-07,1.0067884726344322e-07,0.08262751003257215,0.5988956925530333,1.0154640931645762,0.9485833745479548,90747.0,0.536238112554685,0.463761887445315,0.06541263072057478,0.01590135211081358,0.29103992418482155,0.08806902707527521,0.047604879500148765,0.003878916107419529
2360,2015-11-08,Alaska,3256,0.02818364379198117,1188,0.010283221383560696,1251,0.11062964273081004,709,0.0626989741775734,4163,0.02658806698430136,3121,0.01993306679269866,4444,0.03846686517554186,1960,0.17332861690838344,7284,0.04652113377700001,0,0,0,0,737547.0,0.0,0.0,0.0,0.0,0.195894644498332,0.5630215181929517,0.9531516077012784,0.9158194097834926,15765.0,0.5890897557881383,0.4109102442118617,0.08436409768474469,0.0027275610529654297,0.3523628290516968,0.023723437995559784,0.06343165239454487,0.0006343165239454488
2361,2015-11-08,Montana,3420,0.022563980761237456,2233,0.014732564046737787,1641,0.08641390205371248,1226,0.06456029489204845,4163,0.02658806698430136,3121,0.01993306679269866,5653,0.037296544807975236,2867,0.15097419694576092,7284,0.04652113377700001,0,0,0,0,1030503.0,0.0,0.0,0.0,0.0,-0.16242871906462333,0.5929522432107313,1.075487004240594,1.046299433551647,27395.0,0.34882277787917504,0.651177222120825,0.040554845774776416,0.027194743566344225,0.18795400620551195,0.17167366307720386,0.030078481474721662,0.005402445701770396
2362,2015-11-08,North Carolina,39344,0.03524421651400802,18321,0.016411887219223792,15432,0.14027560629749486,10402,0.09455332145584118,4163,0.02658806698430136,3121,0.01993306679269866,57665,0.05165610373323181,25834,0.23482892775333605,7284,0.04652113377700001,2,1,1,1,10033079.0,1.9934060122520713e-07,9.967030061260355e-08,9.967030061260355e-08,9.967030061260355e-08,0.3054156072175237,0.5851181135265064,1.0853148113445392,1.057103596039746,154105.0,0.7257129878978619,0.2742870121021381,0.09366990039258946,0.010064566367087377,0.4624963498913079,0.05882352941176471,0.06777846273644593,0.0017325849258622368
2363,2015-11-08,South Dakota,3776,0.025091868400592743,2416,0.016054542917328406,1709,0.08871470099667775,1318,0.06841777408637874,4163,0.02658806698430136,3121,0.01993306679269866,6192,0.04114641131792115,3027,0.1571324750830565,7284,0.04652113377700001,1,1,1,0,853933.0,1.1710520614614963e-06,1.1710520614614963e-06,1.1710520614614963e-06,0.0,0.1979273303790068,0.5605053027405403,0.9655439656873152,0.8842748470758448,29132.0,0.6139296992997392,0.3860703007002608,0.07139914870245777,0.0069682823012494855,0.3599821502128244,0.04081422490731841,0.051318138129891534,0.0012700810105725662
2364,2015-11-08,Maryland,21515,0.024237965790840383,15519,0.017483104397306614,9793,0.08516688988224654,8500,0.07392204268345713,4163,0.02658806698430136,3121,0.01993306679269866,37034,0.041721070188147004,18293,0.15908893256570367,7284,0.04652113377700001,2,1,2,0,5986717.0,3.340729150885201e-07,1.6703645754426007e-07,3.340729150885201e-07,0.0,0.03792111338900838,0.5540478475806561,0.9164655586592868,0.8406174022715427,172719.0,0.5069911243117433,0.4930088756882567,0.048541272239880966,0.012424805609110752,0.2363086863633995,0.07308981640699634,0.035578019789368864,0.0035375378504970507
2365,2015-11-08,Kentucky,124123,0.038903592132712835,47031,0.014740820328171388,47043,0.1633891358710753,27436,0.09529035843289804,4163,0.02658806698430136,3121,0.01993306679269866,171154,0.05364441246088422,74479,0.2586794943039733,7284,0.04652113377700001,5,3,3,0,4425999.0,1.129688461294275e-06,6.77813076776565e-07,6.77813076776565e-07,0.0,0.4105882265237199,0.5438537770135329,1.0324093750281635,1.030642118085082,392237.0,0.7710797298572036,0.2289202701427964,0.1235936436389224,0.0022052993470784246,0.5148188467686629,0.017978926006470573,0.0917302549224066,0.0004538072644855023
2366,2015-11-08,Iowa,10693,0.05092462507798473,3388,0.01613510051100835,3160,0.1910404449549604,1619,0.09787800012091168,4163,0.02658806698430136,3121,0.01993306679269866,14081,0.06705972558899308,4779,0.28891844507587205,7284,0.04652113377700001,0,0,0,0,3121460.0,0.0,0.0,0.0,0.0,0.4404723190251536,0.6305147089322289,1.2201852779066271,1.2129214569605384,23374.0,0.7540857362881834,0.24591426371181654,0.1856763925729443,0.009112689312911782,0.5641310858218533,0.05728587319243604,0.14353555232309406,0.001925216052023616
2367,2015-11-08,Utah,141726,0.05509266853825575,52552,0.02042836118300394,37076,0.25089833731466504,23992,0.16235712883950384,4163,0.02658806698430136,3121,0.01993306679269866,194278,0.0755210297212597,61068,0.4132554661541689,7284,0.04652113377700001,2,2,2,0,2982497.0,6.70579048361155e-07,6.70579048361155e-07,6.70579048361155e-07,0.0,0.575424179733916,0.5565775155735451,1.1577163714777163,1.1663379757145969,191307.0,0.8316109708479041,0.16838902915209586,0.23717898456407766,0.002441102521078685,0.6398563565368753,0.016591133622920227,0.18063113215930413,0.0004443120220378763
2368,2015-11-08,Missouri,8372,0.033865943934306864,4757,0.019242749079729785,3529,0.13506066056871674,2673,0.10230012629645224,4163,0.02658806698430136,3121,0.01993306679269866,13129,0.05310869301403665,6202,0.23736078686516895,7284,0.04652113377700001,5,4,5,0,6071745.0,8.234864935862755e-07,6.587891948690204e-07,8.234864935862755e-07,0.0,0.23141384613139884,0.6815439354576686,1.2417916935568731,1.226495949142088,37735.0,0.6257850801643037,0.3742149198356963,0.11999469988074732,0.020511461507883928,0.4555452497681198,0.10658539817145886,0.08604743606731151,0.005830131177951504
2369,2015-11-08,Alabama,4393,0.03166651048462086,3623,0.02611604085722317,1869,0.1233174980205859,1769,0.11671945104249146,4163,0.02658806698430136,3121,0.01993306679269866,8016,0.05778255134184404,3638,0.24003694906307735,7284,0.04652113377700001,0,0,0,0,4853160.0,0.0,0.0,0.0,0.0,0.2531753694258153,0.5733615744507659,1.032015298920015,0.9792240126976874,21503.0,0.659814909547505,0.340185090452495,0.07766358182579175,0.006882760545040227,0.4216155885225317,0.04324977910059061,0.054736548388596935,0.0023717620797098077
2370,2015-11-08,Illinois,35519,0.031766346221782205,14271,0.012763240151216356,18183,0.12988599348534202,7466,0.05333161894965427,4163,0.02658806698430136,3121,0.01993306679269866,49790,0.044529586372998566,25649,0.1832176124349963,7284,0.04652113377700001,0,0,0,0,12864342.0,0.0,0.0,0.0,0.0,-0.2562891101424827,0.37917800206716623,0.8373814812822649,0.7113308648975231,211701.0,0.1344726760856113,0.8655273239143887,0.014038667743657328,0.018063211793992468,0.060528764625580427,0.09152058799911196,0.01041090972645382,0.0034766014331533627
