Week,state,immigration_reaction_amount,immigration_reaction_ratio,race_reaction_amount,race_reaction_ratio,immigration_user_amount,immigration_user_ratio,race_user_amount,race_user_ratio,immigration_post_amount,immigration_post_ratio,race_post_amount,race_post_ratio,immigration_comment_amount,immigration_comment_ratio,race_comment_amount,race_comment_ratio,immigration_comment_length,immigration_comment_length_ratio,race_comment_length,race_comment_length_ratio,immigration_comment_sentiment,immigration_comment_negative_ratio,race_comment_sentiment,race_comment_negative_ratio,related_reaction_amount,related_reaction_ratio,related_user_amount,related_user_ratio,related_post_amount,related_post_ratio,related_comment_amount,related_comment_ratio,related_comment_length,related_comment_length_ratio,related_comment_sentiment,related_comment_negative_ratio,hate_crime,racial_crime,racial_broad_crime,sexual_crime,population,hate_crime_rate,racial_crime_rate,racial_broad_crime_rate,sexual_crime_rate
2015-10-04,Maryland,14813,0.021024797423600063,12609,0.017896555101206586,7223,0.07038863335152414,6954,0.06776720979184532,3589,0.02391980965456569,2501,0.016668555014229255,2587,0.036926546575694434,2225,0.031759399354820285,23.642056436026287,1.226904684680408,21.03370786516853,1.0915444172889346,-0.09522427522226518,0.4217240046385775,-0.06346759550561798,0.4071910112359551,27422,0.03892135252480665,14177,0.13815584314336946,6090,0.040588364668794945,4812,0.06868594593051472,22.435993349958434,1.1643160323641093,-0.08054044056525354,0.4150041562759767,0,0,0,0,5986717.0,0.0,0.0,0.0,0.0
2015-10-04,Kentucky,96122,0.03635186450703064,28761,0.010876968592899735,38614,0.15167786816665946,18358,0.07211121105825696,3589,0.02391980965456569,2501,0.016668555014229255,14557,0.049950588138408115,6786,0.02328533977517603,21.111149275262736,1.0064479376929538,20.522841143530773,0.9784010749575636,-0.09037682214742053,0.4200728172013464,-0.08201463306808138,0.4143825523135868,124883,0.047228833099930374,56972,0.22378907922491642,6090,0.040588364668794945,21343,0.07323592791358415,20.924096893595067,0.99753044668783,-0.08771806681347517,0.4182635993065642,4,2,2,2,4425999.0,9.0375076903542e-07,4.5187538451771e-07,4.5187538451771e-07,4.5187538451771e-07
2015-10-04,Florida,70935,0.022235087899673628,49747,0.0155935563226202,32141,0.12823878643759426,24876,0.0992522961768954,3589,0.02391980965456569,2501,0.016668555014229255,13907,0.036793049349302484,10233,0.02707293262324097,19.00582440497596,0.9715370632197262,19.36274797224664,0.9897822320138394,-0.08205858200906026,0.4108722226217013,-0.06299026678393432,0.3946056874816769,120682,0.03782864422229383,57017,0.22749108261448966,6090,0.040588364668794945,24140,0.06386598197254345,19.157125103562574,0.9792712310851016,-0.0739754805302403,0.40397680198840097,2,1,1,1,20224249.0,9.889118750466334e-08,4.944559375233167e-08,4.944559375233167e-08,4.944559375233167e-08
2015-10-04,Wyoming,1611,0.03213324025132143,509,0.01015258801236661,751,0.107377752359165,315,0.04503860451815842,3589,0.02391980965456569,2501,0.016668555014229255,265,0.06438289601554907,77,0.018707482993197282,26.649056603773587,1.358292059602399,19.649350649350648,1.0015197671041347,-0.12504716981132075,0.4716981132075472,-0.0502688311688312,0.4415584415584416,2120,0.04228582826368804,1066,0.1524163568773234,6090,0.040588364668794945,342,0.08309037900874636,25.073099415204677,1.2779661340984039,-0.10821111111111109,0.4649122807017544,1,1,1,0,585668.0,1.7074520035241809e-06,1.7074520035241809e-06,1.7074520035241809e-06,0.0
2015-10-04,Georgia,37114,0.040684112215099405,10542,0.01155606808674834,13738,0.1919626638347819,6087,0.08505435542017159,3589,0.02391980965456569,2501,0.016668555014229255,6137,0.07121802905816274,2222,0.02578563802627304,16.906794850904337,1.0571884154151412,17.41629162916293,1.089047445847365,-0.10485404920971156,0.43376242463744497,-0.07832979297929793,0.4126912691269127,47656,0.052240180301847745,19825,0.2770170192549535,6090,0.040588364668794945,8359,0.09700366708443578,17.042229931810017,1.0656572233611157,-0.09780333771982293,0.4281612633090082,0,0,0,0,10181111.0,0.0,0.0,0.0,0.0
2015-10-04,Oregon,1301,0.009883990366718077,1462,0.011107143671131305,811,0.04470536354114988,974,0.05369053525163993,3589,0.02391980965456569,2501,0.016668555014229255,368,0.02058856439521092,305,0.01706389168624818,29.831521739130448,0.9577852374938792,24.134426229508207,0.7748715389093594,-0.07083423913043481,0.3994565217391304,-0.045091803278688516,0.3770491803278688,2763,0.02099113403784938,1785,0.09839589879278982,6090,0.040588364668794945,673,0.037652456081459104,27.24962852897475,0.8748897277341786,-0.05916790490341754,0.38930163447251104,0,0,0,0,4016918.0,0.0,0.0,0.0,0.0
2015-10-04,North Dakota,882,0.02286514232384508,338,0.008762378804376005,462,0.06422018348623854,263,0.03655824298026133,3589,0.02391980965456569,2501,0.016668555014229255,76,0.033643204957946,38,0.016821602478972998,13.052631578947372,0.6319986011540482,42.31578947368422,2.0488986908381244,-0.2125052631578948,0.5263157894736842,-0.10219210526315788,0.4473684210526316,1220,0.031627521128221085,725,0.10077842646649987,6090,0.040588364668794945,114,0.050464807436919,22.807017543859658,1.1042986310487404,-0.17573421052631583,0.5,0,0,0,0,754022.0,0.0,0.0,0.0,0.0
2015-10-04,Delaware,140,0.011899702507437314,204,0.017339566510837227,74,0.04665825977301387,108,0.06809583858764187,3589,0.02391980965456569,2501,0.016668555014229255,27,0.03337453646477132,33,0.0407911001236094,17.407407407407412,0.9530075517759083,34.33333333333334,1.8796553202048238,0.06608888888888889,0.25925925925925924,-0.10088787878787876,0.4848484848484849,344,0.02923926901827454,182,0.11475409836065574,6090,0.040588364668794945,60,0.07416563658838071,26.716666666666676,1.462663824411812,-0.025748333333333318,0.3833333333333334,0,0,0,0,941413.0,0.0,0.0,0.0,0.0
2015-10-04,Arkansas,39782,0.04887103510970246,8883,0.010912508292179551,12546,0.2507996161842316,4908,0.0981129058052135,3589,0.02391980965456569,2501,0.016668555014229255,6228,0.08042666942159434,1846,0.02383873342200757,20.508349389852306,1.179683342607739,16.848320693391152,0.9691508026843674,-0.1308587441785772,0.4512606391520797,-0.06674024918743231,0.41495124593716143,48665,0.059783543401882015,17454,0.34891252198944506,6090,0.040588364668794945,8074,0.1042654028436019,19.67153827099334,1.131548209006235,-0.11619900405550891,0.44295903649233986,0,0,0,0,2978407.0,0.0,0.0,0.0,0.0
2015-10-04,Montana,2368,0.018914795555662056,1582,0.01263648926058166,1261,0.07633633997215328,979,0.059265088685755786,3589,0.02391980965456569,2501,0.016668555014229255,455,0.038132752262822665,267,0.022376801877304727,19.320879120879127,1.0282224606074215,20.048689138576762,1.0669552016265964,-0.0639158241758242,0.38461538461538464,0.012755430711610493,0.352059925093633,3950,0.03155128481624372,2240,0.13560142865790906,6090,0.040588364668794945,722,0.06050955414012739,19.59002770083102,1.0425460642807174,-0.03556232686980611,0.37257617728531855,0,0,0,0,1030503.0,0.0,0.0,0.0,0.0
