"week","total","posts","negative","all","month_year","year","party_diff","Candidate_diff_counts","Candidate_diff_distance","population"
67,62,467,2791,6598,8,2016,1.293987018,1.202662451,1.236935349,323071342
68,73,887,3715,8781,8,2016,1.338782577,1.241279349,1.249575765,323071342
69,56,398,3204,9461,8,2016,1.332455245,1.232364271,1.214019944,323071342
70,67,487,3746,13818,8,2016,1.353066724,1.250564586,1.239163867,323071342
71,71,250,2910,7658,9,2016,1.372883073,1.278581229,1.26363701,323071342
72,72,355,2908,7117,9,2016,1.364164045,1.275146635,1.251034311,323071342
73,84,2127,5948,11370,9,2016,1.395570686,1.31261786,1.279909314,323071342
74,82,1084,3883,7883,9,2016,1.399872912,1.319707111,1.26844447,323071342
75,65,499,2928,6752,10,2016,1.399911434,1.31940728,1.271851348,323071342
76,79,293,2372,5896,10,2016,1.410316245,1.332243417,1.291697927,323071342
77,70,271,2252,5910,10,2016,1.447853415,1.377476835,1.317775196,323071342
78,76,194,2132,5748,10,2016,1.458623822,1.385225604,1.323066138,323071342
79,76,302,2221,5504,11,2016,1.468498063,1.390819609,1.323651547,323071342
