"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2"
78,"Michigan",4,2016,10,4,130,0.078556905780264,0.717664006906939,0.690682451028745,-0.558094801827885,1.24877725285663,"Trump",7991,0.120351823124539,2637,0.039715649803455,1423,0.0214316911908671,76,0.00114463002846514,3507,0.0528186514450954,3702,0.0557555311233941,6972,0.10500474419025,6284,0.0946428302483546,9951890,4.01933703045351e-07,0.160067472927994,0.0225763212193322,0.10857418256849,0.199647574438604,10628,1499,7209,13256,1.2314079036485,1.1865571667369
79,"Michigan",8,2016,11,4,131,0.0779145969292536,0.721345808366844,0.681827514506243,-0.573999357552857,1.2558268720591,"Trump",7945,0.119879290833648,2701,0.040754432289702,1357,0.0204752923425123,82,0.00123726895511128,3530,0.0532629196529611,3605,0.0543945680875141,7006,0.105711052433044,6217,0.0938061109015466,9951890,8.03867406090702e-07,0.16063372312335,0.0217125612976235,0.107657487740475,0.199517163334591,10646,1439,7135,13223,1.24877725285663,1.2558268720591
11,"Michigan",0,2015,7,3,115,0.00439788913231431,0.575525864766435,0.473413763469612,-0.49496585675681,0.968379620226423,"Trump",1886,0.0354985036420787,1222,0.0230006211297032,1488,0.0280073029795404,216,0.00406557623896554,2733,0.0514408326902445,2863,0.0538877072785108,5101,0.0960115944211259,4851,0.0913060663667677,9932573,0,0.0584991247717819,0.0320728792185059,0.105328539968755,0.187317660787894,3108,1704,5596,9952,1.2558268720591,1.24877725285663
42,"Michigan",0,2016,2,1,122,0.0182237238636174,0.610703739792581,0.561710788234901,-0.468667548739149,1.03037833697405,"Clinton",4245,0.0704003449533981,1264,0.0209625526551461,2571,0.0426382301237189,186,0.00308467942551992,3188,0.0528707419814919,2659,0.0440976483465455,6342,0.105177617831437,4797,0.0795548774420379,9951890,0,0.0913628976085442,0.0457229095492388,0.0969683903280374,0.184732495273475,5509,2757,5847,11139,0.968379620226423,1.2558268720591
1,"New Jersey",3,2015,5,2,113,-0.253851080326807,0.404594878003566,0.257204545370218,-0.442142510373565,0.699347055743783,"Clinton",2656,0.0107939397880226,3267,0.0132770336172703,2877,0.0116920801092399,820,0.00333246635021783,3704,0.0150529943429352,9367,0.0380673320762078,7135,0.028996521230249,21014,0.0854005461993628,8870869,3.38185582494793e-07,0.0240709734052929,0.0150245464594577,0.053120326419143,0.114397067429612,5923,3697,13071,28149,0.699347055743783,0.699347055743783
2,"New Jersey",6,2015,5,2,113,-0.261475380085401,0.40226648763036,0.261542601445087,-0.44681578233812,0.708358383783207,"Clinton",2404,0.0096133467163063,3339,0.0133523147611259,2710,0.01083700898552,834,0.00333507951805302,3627,0.0145039968968565,9358,0.0374216716186333,7290,0.0291519540606793,27563,0.110221578844239,8870869,6.76371164989586e-07,0.0229656614774322,0.014172088503573,0.0519256685154897,0.139373532904918,5743,3544,12985,34853,0.699347055743783,0.708358383783207
3,"New Jersey",1,2015,5,2,113,-0.261732031011516,0.405471219270906,0.32735060241967,-0.437504029766012,0.764854632185682,"Clinton",2339,0.00924699640636181,2921,0.0115478736652342,2762,0.0109192834862639,778,0.00307574313986725,3783,0.0149557021826707,15108,0.0597279271942344,7782,0.0307653381933765,28766,0.113723428228048,8870869,1.12728527498264e-07,0.020794870071596,0.0139950266261312,0.074683629376905,0.144488766421424,5260,3540,18891,36548,0.708358383783207,0.699347055743783
4,"New Jersey",1,2015,5,2,113,-0.265389256027503,0.415480439133381,0.316576485413343,-0.452919753793261,0.769496239206604,"Clinton",2512,0.009877669467699,3249,0.0127756958999021,2712,0.0106641081195859,1041,0.00409341318307112,3921,0.0154181297702419,10411,0.0409380640239706,7742,0.0304430402145405,30510,0.119971216345341,8870869,1.12728527498264e-07,0.0226533653676011,0.014757521302657,0.0563561937942126,0.150414256559881,5761,3753,14332,38252,0.764854632185682,0.708358383783207
5,"New Jersey",6,2015,6,2,114,-0.311937294177803,0.412709376042638,0.349941855788302,-0.481763775777092,0.831705631565393,"Clinton",2397,0.00878511112414238,2898,0.0106212983052835,2662,0.00975634785668211,722,0.00264616196563654,3766,0.0138025567348854,12227,0.0448124963349557,7717,0.0282831466604117,37393,0.137047000527766,8870869,6.76371164989586e-07,0.0194064094294259,0.0124025098223187,0.0586150530698411,0.165330147188178,5295,3384,15993,45110,0.769496239206604,0.764854632185682
6,"New Jersey",5,2015,6,2,114,-0.309685935285559,0.42397135228316,0.348838805343395,-0.488597847230128,0.837436652573522,"Clinton",2478,0.00934554766493308,3355,0.0126530719999397,2431,0.00916829151471038,657,0.00247781469566628,3745,0.0141239209060429,12067,0.0455095737178157,7117,0.0268411068326589,36562,0.137890199243456,8870869,5.63642637491321e-07,0.0219986196648727,0.0116461062103766,0.0596334946238587,0.164731306076115,5833,3088,15812,43679,0.831705631565393,0.769496239206604
