"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2"
35,"Kentucky",2,2015,12,4,120,0.401938784938567,0.547316268386693,0.639277466009445,-0.381214684374175,1.02049215038362,"Trump",58731,0.127001872667275,1061,0.00229434177691473,40995,0.0886489548959653,164,0.000354639068250721,51257,0.110839845861751,2413,0.00521795165664018,102403,0.22143966162243,4948,0.0106997201811254,4425999,4.5187538451771e-07,0.12929621444419,0.089003593964216,0.116057797518392,0.232139381803556,59792,41159,53670,107351,1.01597716611937,1.01088781146757
36,"Kentucky",5,2016,1,1,121,0.403089821984851,0.541885385421462,0.626098822635114,-0.390007287089586,1.0161061097247,"Trump",58086,0.123517591145418,1121,0.00238376234676193,40187,0.0854560726398945,144,0.000306210328219196,52092,0.110771586233294,2422,0.00515028760379786,103373,0.219818612909742,5035,0.0107067291846087,4438229,1.1265754876551e-06,0.12590135349218,0.0857622829681137,0.115921873837092,0.230525342094351,59207,40331,54514,108408,1.02049215038362,1.01597716611937
37,"Kentucky",1,2016,1,1,121,0.401487969118555,0.546090229255002,0.633133298305927,-0.376098645763609,1.00923194406954,"Trump",59274,0.126970186404589,1047,0.00224276723631955,43227,0.0925960834043793,161,0.00034487633719909,52995,0.113520009253825,2589,0.00554586855284748,104310,0.223441308902094,5260,0.0112673884078709,4438229,2.2531509753102e-07,0.129212953640909,0.0929409597415784,0.119065877806672,0.234708697309965,60321,43388,55584,109570,1.0161061097247,1.02049215038362
38,"Kentucky",1,2016,1,1,121,0.407234588250259,0.555326613251653,0.644019040297943,-0.382673638861817,1.02669267915976,"Trump",63240,0.1357967429396,1233,0.00264764996907854,43605,0.0936340445269017,167,0.000358603037174466,55026,0.118158627087199,2771,0.00595023362880506,107260,0.230321926750498,5329,0.0114430873359445,4438229,2.2531509753102e-07,0.138444392908679,0.0939926475640761,0.124108860716004,0.241765014086443,64473,43772,57797,112589,1.00923194406954,1.0161061097247
39,"Kentucky",7,2016,1,1,121,0.405825210272135,0.545306001218398,0.640356898589713,-0.366348118808168,1.00670501739788,"Trump",60930,0.131026058982156,1236,0.0026579387641875,42456,0.0912989062883046,216,0.000464494152964806,56057,0.120546984873834,2542,0.00546640804090989,107746,0.231700865765491,5419,0.0116532121060939,4438229,1.57720568271714e-06,0.133683997746343,0.0917634004412694,0.126013392914744,0.243354077871585,62166,42672,58599,113165,1.02669267915976,1.00923194406954
40,"Kentucky",4,2016,1,1,121,0.411536594685495,0.561143233244539,0.666025824594069,-0.367626347212952,1.03365217180702,"Trump",66424,0.144457154787329,1035,0.00225089056974716,43708,0.0950550000217477,229,0.000498023130890918,56207,0.122237493965004,2699,0.00586971366932134,108852,0.236728444732481,5763,0.0125332196651719,4438229,9.01260390124079e-07,0.146708045357076,0.0955530231526387,0.128107207634325,0.249261664397653,67459,43937,58906,114615,1.00670501739788,1.02669267915976
41,"Kentucky",4,2016,2,1,122,0.407443113746047,0.579959748487332,0.679492861975146,-0.376661344059714,1.05615420603486,"Trump",68548,0.157829782923033,1253,0.00288499617789812,42863,0.0986908149826394,176,0.000405234898092633,54433,0.125330404590206,2736,0.00629956068853093,105040,0.241851555088921,5617,0.0129329796737859,4438229,9.01260390124079e-07,0.160714779100931,0.099096049880732,0.131629965278737,0.254784534762707,69801,43039,57169,110657,1.03365217180702,1.00670501739788
42,"Kentucky",5,2016,2,1,122,0.413019399403648,0.582718022670535,0.684912870733573,-0.380630706376165,1.06554357710974,"Trump",76629,0.16583169043193,1422,0.00307732925908212,46757,0.101186135138469,162,0.000350581814325812,58076,0.12568141635053,2885,0.00624338601438251,111597,0.241505424279738,5861,0.0126837037886641,4438229,1.1265754876551e-06,0.168909019691012,0.101536716952795,0.131924802364912,0.254189128068402,78051,46919,60961,117458,1.05615420603486,1.03365217180702
43,"Kentucky",4,2016,2,1,122,0.429122717583205,0.600597117244563,0.711069635417182,-0.390075830573452,1.10114546599063,"Trump",83341,0.181890203712838,1381,0.00301400716726976,47745,0.104202586677259,103,0.000224795610592893,57155,0.124739739062493,2994,0.00653435007878759,110692,0.241583259492704,5567,0.0121498753802974,4438229,9.01260390124079e-07,0.184904210880108,0.104427382287852,0.131274089141281,0.253733134873001,84722,47848,60149,116259,1.06554357710974,1.05615420603486
44,"Kentucky",2,2016,3,1,123,0.431807081833429,0.599364575061241,0.710431629370579,-0.387367077460191,1.09779870683077,"Trump",83332,0.181499002465522,1396,0.00304051993762142,50256,0.109458717754371,91,0.00019820008189366,58607,0.127647386808151,3001,0.00653624665673488,111968,0.243868865598564,5901,0.0128525130027966,4438229,4.50630195062039e-07,0.184539522403143,0.109656917836265,0.134183633464886,0.256721378601361,84728,50347,61608,117869,1.10114546599063,1.06554357710974
45,"Kentucky",6,2016,3,1,123,0.435872245794854,0.601159613135434,0.710957596885837,-0.388256508014954,1.09921410490079,"Trump",83188,0.18665828976597,1370,0.00307402338052819,46737,0.104869073529742,99,0.000222137455965176,54779,0.122913815154711,2994,0.00671797518343169,105797,0.237388650795432,5823,0.0130657212735881,4438229,1.35189058518612e-06,0.189732313146499,0.105091210985707,0.129631790338143,0.25045437206902,84558,46836,57773,111620,1.09779870683077,1.10114546599063
46,"Kentucky",7,2016,3,1,123,0.433906124745634,0.601149088395739,0.718746881866847,-0.369100677951295,1.08784755981814,"Trump",83890,0.189414551210117,1309,0.00295558049271717,47206,0.106586044873344,90,0.000203210270698659,53887,0.121671020634874,2684,0.00606018185061336,105146,0.237408301365347,5629,0.0127096734862528,4438229,1.57720568271714e-06,0.192370131702834,0.106789255144042,0.127731202485487,0.2501179748516,85199,47296,56571,110775,1.09921410490079,1.09779870683077
47,"Kentucky",2,2016,3,1,123,0.433097356731778,0.603475639441016,0.718218788889425,-0.370208362098684,1.08842715098811,"Trump",83312,0.188725234796555,1224,0.00277270606144353,47375,0.10731776933079,87,0.000197079597504565,52716,0.119416644391386,2645,0.00599167282068475,101844,0.230705454347757,5507,0.0124749119937659,4438229,4.50630195062039e-07,0.191497940857998,0.107514848928295,0.125408317212071,0.243180366341523,84536,47462,55361,107351,1.08784755981814,1.09921410490079
48,"Kentucky",2,2016,3,1,123,0.423384782646083,0.621172944178034,0.731959602760701,-0.375919667056064,1.10787926981676,"Trump",88281,0.201549272622668,1087,0.00248166716893601,52783,0.120505830890478,65,0.000148397760791942,51798,0.118257034053862,2797,0.00638566979900094,102611,0.234265271271107,5777,0.013189136370693,4438229,4.50630195062039e-07,0.204030939791604,0.12065422865127,0.124642703852862,0.2474544076418,89368,52848,54595,108388,1.08842715098811,1.08784755981814
49,"Kentucky",4,2016,4,2,124,0.432115879829191,0.630613307844798,0.758273764140677,-0.367681304387975,1.12595506852865,"Trump",91251,0.210670791536322,1108,0.00255803483821815,54142,0.124997402717335,67,0.000154682612058318,51185,0.118170589525448,2725,0.00629119578893904,101309,0.233891652910688,5687,0.0131295524593381,4438229,9.01260390124079e-07,0.21322882637454,0.125152085329393,0.124461785314387,0.247021205370026,92359,54209,53910,106996,1.10787926981676,1.08842715098811
50,"Kentucky",3,2016,4,2,124,0.440552011629779,0.631541714556791,0.752569045475636,-0.377072876416738,1.12964192189237,"Trump",93544,0.214665669189427,1005,0.00230628364764575,54425,0.124895012460816,80,0.000183584767971801,52043,0.119428775994456,2777,0.00637268625822116,99951,0.229368514294369,5955,0.013665591165901,4438229,6.75945292593059e-07,0.216971952837073,0.125078597228788,0.125801462252677,0.24303410546027,94549,54505,54820,105906,1.12595506852865,1.10787926981676
51,"Kentucky",8,2016,4,2,124,0.451975645746911,0.636761745776048,0.758931794387609,-0.377105328354333,1.13603712274194,"Trump",99474,0.226208885169553,955,0.0021717180905254,54237,0.123337669189347,82,0.00018647212923883,51830,0.11786402998108,2640,0.00600349294134769,100457,0.228444276670063,5840,0.0132804540823752,4438229,1.80252078024816e-06,0.228380603260079,0.123524141318585,0.123867522922428,0.241724730752438,100429,54319,54470,106297,1.12964192189237,1.12595506852865
52,"Kentucky",1,2016,4,2,124,0.466105505447885,0.621824991900483,0.752151249815699,-0.369283183757682,1.12143443357338,"Trump",98874,0.224600315295465,1190,0.00270318157656819,44527,0.101146694167943,100,0.000227158115677999,49675,0.112840793963046,2491,0.00565850866153895,97356,0.221152055099473,5208,0.0118303946645102,4438229,2.2531509753102e-07,0.227303496872033,0.101373852283621,0.118499302624585,0.232982449763983,100064,44627,52166,102564,1.13603712274194,1.12964192189237
