state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
13,IN0030100,71-IXVA6PU72,20140517,F,2,000,00,U,290,001,04,24, 
13,IN0030100,TJ-W ZW9SCTD,20140830,F,3,000,00,U,290,001,04,24, 
13,IN0030100,F -NTRN7Q-F3,20140831,F,3,000,00,U,290,001,04,24, 
13,IN0030100,9Y-41S48F39G,20140831,F,3,000,00,U,290,001,04,24, 
13,IN0290700,P9143N4PBSCT,20140820,F,3,001,01,U,13C,001,53,24,I
13,IN0480200,5F1N-3G W4VS,20141021,F,4,001,01,W,13C,001,20,12,I
13,IN0530100,BA49P0RVSD1A,20140129,F,1,001,01,W,13B,001,52,12,I
13,IN0530100, T4-W30J6SCT,20140509,F,2,001,01,P,13B,001,03,21,I
13,IN0530100,4I4BA1HQ6X I,20141101,F,4,001,01,W,11A,001,13,32,I
13,IN0530100,G24I16SMPU72,20141002,F,4,001,01,W,13C,001,23,12,I
13,IN0530100,G24I96YFPU72,20140907,F,3,001,04,B,13B,001,03,12,I
13,IN0530100,Q54NL4-6T0W5,20140627,F,2,001,00,U,290,001,13,42,I
13,IN0530100,G24ZY6RC3U72,20140819,F,3,002,02,W,13B,002,52,12,I
13,IN0530100,BA49Q0PNZD1A,20141018,F,4,001,01,W,13A,001,03,12,I
13,IN0530100,AG47584UZ39G,20141212,F,4,001,01,W,290,001,21,12,I
13,IN0530100,ID4FE94BHCTD,20141218,F,4,002,01,W,13B,002,20,12,I
13,IN0540000,470VYMRU72 N,20141228,F,4,001,01,W,13B,001,13,12,I
13,IN0730100,1PD59YU4 BRT,20140806,F,3,001,01,W,13C,001,20,12,I
13,IN0730100,1PD59YU4YSZR,20140821,F,3,001,01,W,13C,001,20,12,I
13,IN0730100,1PD59YUWKOZV,20141005,F,4,001,01,W,13C,001,20,12,I
13,IN0730100,1PD59YUWKIPO,20141028,F,4,001,01,W,13B,001,20,12,I
13,IN0790300,5F1N-1K5JRVS,20140921,F,3,001,01,U,13C,001,52,12,I
13,IN316SP00,Z9ISQ6EMWEHQ,20140321,N,1,000,00,U,35A,001,10,31, 
13,IN349SP00,Z9ISQ6EMWV23,20140315,N,1,002,01,W,13A,002,20,62,I
13,IN349SP00,Z9ISQ6EM5M58,20141017,N,4,001,01,U,13B,001,53,31,I
